Anrede;Name;Vorname;Strasse;PLZ;Ort;Telefon;Email;Sportart;Anzahl
Herr;name;vorname;strasse;1352;ort;1234567890;example@example.com;43
Herr;name;vorname;strasse;2134;ort;1234567890;example@example.com;volleyball;12
Herr;;vorname;strasse;1234;ort;1234567890;example@example.com;Volleyball;34
Herr;;vorname;strasse;1234;ort;1234567890;example@example.com;Volleyball;23
Herr;Peter;Sacco;strasse;5555;ort;"079 555 44 34";example@example.com;Fussball;66
Frau;Blabla;vorname;strasse;1111;ort;"123 456 789";example@example.com;Handball;44
Herr;Sacco;Peter;Strasse;2222;Zürich;"123 456 7890";example@example.com;Handball;12
Herr;name;vorname;strasse;1111;ort;"12 345 678 90";example@example.com;Fussball;99
Herr;name;vorname;strasse;2222;ort;"1 23456 7890";example@example.com;Handball;88
Frau;name;vorname;strasse;1234;ort;"1345 1345";example@example.com;Handball;55
Herr;name;vorname;strasse;2222;ort;"12 3456 7890";example@example.com;Fussball;77
Herr;name;vorname;strasse;2222;ort;"12 3456 7890";example@example.com;Fussball;77
Herr;name;vorname;strasse;2222;ort;"12 3456 7890";example@example.com;Fussball;77
Herr;name;vorname;strasse;2222;ort;"12 3456 7890";example@example.com;Fussball;77
Herr;name;vorname;strasse;2222;ort;"12 3456 7890";example@example.com;Fussball;77
Herr;name;vorname;strasse;2222;ort;"12 3456 7890";example@example.com;Fussball;77
Frau;Wilfinger;Sandra;strasse;3214;ort;1234567890;example@example.com;Handball;34
Herr;asdf;vorname;strasse;plz;ort;1234567890;example@example.com;Volleyball;anzahl
Herr;Muster;Hans;strasse;5656;ort;1234567890;example@example.com;Fussball;99
